id,true_avg,pred_avg,pred_stdev,0,1,2,3,4,5,6,7,8,9
P01,0.592,0.5407212853431702,0.025303500608061275,0.5334955453872681,0.5569202899932861,0.531661868095398,0.5222651362419128,0.5051736831665039,0.5425420999526978,0.53589928150177,0.5874857306480408,0.5785565972328186,0.5132126212120056
P02,0.496,0.4525392293930054,0.02444100148852792,0.4623276889324188,0.4350353181362152,0.44058412313461304,0.4350675046443939,0.4594489336013794,0.4657413065433502,0.39868080615997314,0.4880107045173645,0.4778323769569397,0.46266353130340576
P03,0.495,0.4655373007059097,0.020472153940085128,0.48511675000190735,0.490823894739151,0.4706799387931824,0.43757373094558716,0.47805649042129517,0.4807184338569641,0.4265914261341095,0.47228285670280457,0.44543954730033875,0.4680899381637573
P04,0.463,0.42208344042301177,0.02795182727064531,0.3884943425655365,0.42235463857650757,0.43878456950187683,0.4372365176677704,0.3941136598587036,0.4401589334011078,0.36901140213012695,0.46250951290130615,0.44689491391181946,0.42127591371536255
P05,0.537,0.47835720181465147,0.039294871830092476,0.5288151502609253,0.500333845615387,0.5057505369186401,0.41716158390045166,0.4885156452655792,0.5010343790054321,0.4364798963069916,0.4994644820690155,0.40933457016944885,0.49668192863464355
P06,0.485,0.4238620787858963,0.0417917471120627,0.316070556640625,0.43034884333610535,0.4354267716407776,0.451980859041214,0.4535810053348541,0.47283944487571716,0.3871098458766937,0.4384838938713074,0.42960718274116516,0.42317238450050354
P07,0.477,0.40550425946712493,0.03811959105719137,0.4350915849208832,0.4044428765773773,0.43609532713890076,0.3215118646621704,0.4322562515735626,0.413073867559433,0.38690072298049927,0.42025142908096313,0.3562776744365692,0.4491409957408905
P08,0.539,0.5101619035005569,0.02125827171982104,0.5198185443878174,0.4994562566280365,0.5193813443183899,0.5177348852157593,0.5478376150131226,0.5249038338661194,0.49606162309646606,0.5078807473182678,0.4620509147644043,0.5064932703971863
P09,0.544,0.5190624892711639,0.01861964790831792,0.5168806314468384,0.5147072076797485,0.5210583806037903,0.531428337097168,0.5147822499275208,0.5665594935417175,0.5043433904647827,0.4926854968070984,0.5090824365615845,0.5190972685813904
P10,0.454,0.4631422281265259,0.030279828705851167,0.48027077317237854,0.4891775846481323,0.4505681097507477,0.4406417906284332,0.457792729139328,0.4420039653778076,0.40823692083358765,0.45664751529693604,0.5232523679733276,0.4828305244445801
P11,0.429,0.41655102372169495,0.0285074417021776,0.4472641050815582,0.39736196398735046,0.45474112033843994,0.44591233134269714,0.4314872920513153,0.38415494561195374,0.3622661828994751,0.406103253364563,0.4091316759586334,0.42708736658096313
P12,0.433,0.40836404263973236,0.027719253254047987,0.3728507459163666,0.43013811111450195,0.4361254572868347,0.3995193839073181,0.40092000365257263,0.4205303490161896,0.38445138931274414,0.4154679477214813,0.36572209000587463,0.45791494846343994
P13,0.426,0.44944430589675904,0.026156596691551747,0.42502203583717346,0.47962406277656555,0.47175392508506775,0.3870672881603241,0.47503867745399475,0.4505464732646942,0.43881699442863464,0.4538157284259796,0.4619145095348358,0.45084336400032043
