id,true_0,true_1,true_2,true_3,true_4,true_5,true_6,pred_avg_0,pred_avg_1,pred_avg_2,pred_avg_3,pred_avg_4,pred_avg_5,pred_avg_6,pred_stdev_0,pred_stdev_1,pred_stdev_2,pred_stdev_3,pred_stdev_4,pred_stdev_5,pred_stdev_6
P01,0.255166667,0.362946667,0.448005556,0.520352222,0.647114444,0.759336667,0.865324444,0.25914118587970736,0.3662294954061508,0.45193266570568086,0.5272307395935059,0.6517504870891571,0.7666614294052124,0.8742821395397187,0.003008405573078839,0.004285829175172908,0.004065112289256435,0.004100578740618116,0.0033527829602970323,0.00493990143644929,0.002641543738293114
P02,0.268138889,0.349501111,0.469362222,0.554766667,0.621282222,0.727997778,0.903064444,0.2700574666261673,0.36039076149463656,0.45628402233123777,0.5361487865447998,0.6523671805858612,0.7658801138401031,0.8797799229621888,0.003759601173711619,0.004831378059656787,0.0034817732760511412,0.0038998502118138645,0.005099604493667667,0.0038179107139394626,0.003335478102567933
P03,0.286174444,0.348551111,0.470931111,0.521412222,0.628312222,0.760276667,0.882114444,0.27216517329216006,0.36008520424366,0.45696718990802765,0.5317577183246612,0.6506036758422852,0.7676049292087554,0.8798635303974152,0.0020033901835636333,0.004385492307324572,0.007062031422227447,0.007900819952766385,0.006869857131415053,0.008182352148547472,0.01008556669416492
P04,0.26755,0.349223333,0.464804444,0.59051,0.72799,0.799695556,0.918216667,0.2756320208311081,0.3684618085622787,0.4654294282197952,0.543719208240509,0.6676385641098023,0.7819348454475403,0.8966219663619995,0.00391087314961333,0.005542610586145243,0.0029618091739672327,0.005038792329036425,0.008211263071257859,0.006710207088572622,0.0063273831867944165
P05,0.303153333,0.365501111,0.480641111,0.544185556,0.669381111,0.766895556,0.887325556,0.27986053824424745,0.3643058091402054,0.46282998025417327,0.5402480840682984,0.6581167638301849,0.7750371098518372,0.8888124167919159,0.00557922845677251,0.004114454272733871,0.005046995379526752,0.003992200101182598,0.003740935300617138,0.0055350746799840535,0.0064425891416745335
P06,0.257804444,0.363117778,0.45193,0.524212222,0.650297778,0.765677778,0.871584444,0.27028593719005584,0.36188770830631256,0.4582791060209274,0.5374956607818604,0.6569010794162751,0.7703461170196533,0.8837145268917084,0.004977070733097624,0.005231968209169899,0.004171301465466824,0.006880196047449268,0.0065239650621652075,0.00655661433007238,0.00979179950747143
P07,0.318203333,0.363192222,0.489095556,0.534164444,0.62057,0.761337778,0.842884444,0.27620466351509093,0.36362879872322085,0.45994387567043304,0.5345609188079834,0.6540956377983094,0.7682528138160706,0.8811915278434753,0.004313247174109371,0.007404073362908556,0.009403976376768663,0.008963121529271001,0.009915181012494953,0.009185393588719075,0.011130476339532498
P08,0.253792222,0.361031111,0.445816667,0.517321111,0.644125556,0.75714,0.862535556,0.26018558740615844,0.36420983970165255,0.45034422278404235,0.5245898783206939,0.6478621125221252,0.7632272601127624,0.8690408587455749,0.005796543612897418,0.0042693045291282835,0.008710770804999006,0.004213823197980814,0.004740660624355249,0.004033449494698291,0.005230827008019225
P09,0.261211111,0.372282222,0.459316667,0.534301111,0.665092222,0.781656667,0.890716667,0.25765627920627593,0.3645287960767746,0.4538974463939667,0.5271975100040436,0.6568351089954376,0.7708556830883027,0.8768511652946472,0.003248288022267917,0.004388448670196871,0.004710294392548481,0.006033998284374467,0.005857455069810415,0.007205008179503968,0.007897308750189949
P10,0.265591111,0.378272222,0.446038889,0.543336667,0.676964444,0.796185556,0.908292222,0.2751709371805191,0.3663077473640442,0.4601411193609238,0.5412081897258758,0.6593753337860108,0.7737708032131195,0.8886928558349609,0.005948569524883199,0.006985771020030991,0.0037869751049823468,0.007988326480612425,0.007234117436194908,0.008108154937613287,0.010828768629387829
