id,true_0,true_1,true_2,true_3,true_4,true_5,true_6,pred_avg_0,pred_avg_1,pred_avg_2,pred_avg_3,pred_avg_4,pred_avg_5,pred_avg_6,pred_stdev_0,pred_stdev_1,pred_stdev_2,pred_stdev_3,pred_stdev_4,pred_stdev_5,pred_stdev_6
P01,0.1289,1.0,0.1482,0.3456,0.2483,0.0718,0.0911,0.1606639802455902,0.9920456528663635,0.19106914848089218,0.42283291220664976,0.41400927007198335,0.12980764657258986,0.1158233754336834,0.03891786864704435,0.00654101772158971,0.02270454404623952,0.05105810001050319,0.025528706205358825,0.013559566246988399,0.009254160372819231
P02,0.112,1.0,0.2749,0.0767,0.132,0.0948,0.0334,0.2815945479604933,0.9946938574314117,0.30402518974410164,0.32833249701393974,0.26390517089102006,0.11670189185274972,0.059041139902547,0.03649493100045972,0.012374193174395493,0.02997795348411739,0.0408681472408842,0.029753891729720226,0.015688646807910506,0.024869634630808293
P03,0.2647,1.0,0.4352,0.4681,0.618,0.1288,0.0493,0.27204536894957226,0.9953727185726166,0.3131771948602464,0.3284293082025316,0.24220461812284258,0.1210562073522144,0.06933267787098885,0.04513308501874411,0.01158715459288206,0.026419241067861424,0.0291160153382676,0.04037350773141917,0.019967338149795136,0.024512093270669368
P04,0.1338,1.0,0.4524,0.2028,0.1974,0.0349,0.0633,0.30491552750269574,1.0674206972122193,0.31779173347685075,0.3206525478098128,0.260797843337059,0.12912477635675007,0.054253371639384165,0.04562882830979795,0.20938121016392222,0.038643023455425404,0.02887007886689125,0.018266861551498027,0.009087244903115544,0.012949090219698532
P05,0.7355,1.0,0.6859,0.4988,0.1602,0.0869,0.0498,0.24355347454547882,0.9920703887939453,0.3001163065433502,0.30922132432460786,0.2700866311788559,0.12541931718587876,0.06329346986280547,0.030429437298847332,0.013738131670302944,0.03684981980637064,0.01725256319161256,0.025515188797597545,0.01138932985142368,0.013695704411174348
P06,0.025,1.0,0.2004,0.5832,0.3471,0.2673,0.1883,0.2679070085287094,0.9944329977035522,0.2507073332866033,0.29436808162265354,0.2512703984975815,0.11500614219241673,0.060195359918806285,0.05506791361028671,0.013241187242338632,0.09374212338148889,0.04946093310663769,0.04349616617257816,0.011475367625023835,0.013670153666241467
P07,0.9179,1.0,0.4464,0.0724,0.2551,0.1014,0.07,0.24353907108306885,0.9950679957866668,0.3299885392189026,0.34147279560565946,0.2550973013043404,0.11958070173859596,0.055543976525465645,0.04523622137821556,0.012768205895694362,0.038877769272014424,0.020773620975228793,0.02385335629643398,0.01562137200748779,0.01600969218041826
P08,0.158,1.0,0.0633,0.2911,0.2649,0.1181,0.1157,0.17642898857593536,0.9928616464138031,0.2090846911072731,0.39888355433940886,0.3871803849935532,0.1143996961414814,0.10304936915636062,0.014406463747786254,0.0070229707467905226,0.02121629461261696,0.052135340800589534,0.0421885608498967,0.017102443064194606,0.009615042532797404
P09,0.1325,1.0,0.1986,0.3292,0.464,0.1634,0.159,0.2073497384786606,0.9996567487716674,0.22344846427440643,0.511651587486267,0.4465714663267136,0.12742376402020456,0.10483568757772446,0.026278673107138585,0.007230428300229763,0.010798073012161253,0.07970077991033309,0.043954022032403145,0.009321875285273156,0.012049229931739739
P10,0.1306,1.0,0.0419,0.4446,0.4202,0.1751,0.1066,0.25711606815457344,1.066957598924637,0.2820842331275344,0.3118368238210678,0.25559480860829353,0.11526894476264715,0.05857125762850046,0.036924256179255224,0.20981018183974684,0.07888627998141526,0.019738607885155694,0.026792236141392884,0.012561090372331772,0.013894003296170245
